,Latitude,Longitude,median
0,33.866890000000005,-117.85707,0.6734249999999999
1,34.097409999999996,-118.1557,1.0864500000000001
2,34.09702,-118.15593999999999,1.07175
3,34.095859999999995,-118.15733999999999,1.1602999999999999
4,34.09648,-118.15982,1.0463
5,34.0955,-118.16032,1.1387
6,34.09851,-118.16205,1.0754000000000001
7,34.09584,-118.16215,1.1695000000000002
8,34.097609999999996,-118.16219,1.04925
9,34.094229999999996,-118.16219,1.1010499999999999
10,34.07958,-118.16266,1.0236
11,34.07398,-118.16301999999999,1.06515
12,34.09019,-118.16328,1.0873
13,34.09405,-118.1633,1.07725
14,34.070040000000006,-118.16361,0.8699749999999999
15,34.08992,-118.16391999999999,1.03865
16,34.08426,-118.16582,1.16255
17,34.08396,-118.16582,1.17545
18,34.08227,-118.16585,1.14385
19,34.07358,-118.16597,0.95001
20,34.08818,-118.166,1.1517
21,34.084340000000005,-118.16651,1.14585
22,34.08899,-118.16718,1.10635
23,34.0852,-118.16824,1.1285
24,34.08821,-118.16903,1.0204499999999999
25,34.0875,-118.16953999999998,1.07305
26,34.117909999999995,-118.17002,1.2459
27,34.11822,-118.17006,1.2478500000000001
28,34.08378,-118.17017,1.1659000000000002
29,34.11796,-118.17039,1.1936499999999999
30,34.0804,-118.17056000000001,1.1073499999999998
31,34.08788,-118.17071000000001,1.11385
32,34.0804,-118.17076999999999,1.0861999999999998
33,34.08835,-118.17085,1.10285
34,34.08364,-118.1709,1.1814
35,34.08379,-118.17156999999999,1.10385
36,34.11684,-118.17182,1.1243
37,34.07503,-118.17185,1.1129
38,34.08084,-118.17192,1.22745
39,34.11591,-118.1723,1.19515
40,34.087559999999996,-118.17236000000001,1.09025
41,34.11582,-118.17241999999999,1.204
42,34.08321,-118.17245,1.19015
43,34.08315,-118.1726,1.2516500000000002
44,34.0831,-118.17276000000001,1.2612
45,34.07063,-118.17288,1.14725
46,34.117129999999996,-118.1733,1.1005
47,34.11723,-118.17348,1.05965
48,34.11574,-118.17378000000001,1.09565
49,34.08671,-118.17395,0.999015
50,34.07005,-118.17428999999998,1.2833999999999999
51,34.08634,-118.17466999999999,1.03285
52,34.069,-118.17468999999998,1.056665
53,34.11582,-118.17501999999999,1.16055
54,34.068690000000004,-118.17501999999999,1.08305
55,34.08246,-118.17504,1.2675
56,34.0826,-118.17505,1.22265
57,34.115759999999995,-118.17518999999999,1.2112
58,34.08971,-118.17518999999999,1.1
59,34.08801,-118.17539,1.1246
60,34.086290000000005,-118.1754,1.08465
61,34.08603,-118.17541000000001,1.1091
62,34.080090000000006,-118.17596,1.2227000000000001
63,34.08722,-118.176,1.1319
64,34.08722,-118.176,1.1319
65,34.11803,-118.1761,1.16955
66,34.11854,-118.17612,1.09085
67,34.118190000000006,-118.17633000000001,1.1198000000000001
68,34.08471,-118.17633000000001,1.1244999999999998
69,34.11619,-118.1766,1.2056499999999999
70,34.11351,-118.17693999999999,1.1437
71,34.119659999999996,-118.17712,1.017485
72,34.11985,-118.17727,1.0909
73,34.11701,-118.17732,1.19235
74,34.119170000000004,-118.1774,1.0742
75,34.11554,-118.17778999999999,1.08355
76,34.11804,-118.17781000000001,1.2273
77,34.11449,-118.17816,1.10275
78,34.11415,-118.17818,1.1341
79,34.11405,-118.17836000000001,1.10515
80,34.113690000000005,-118.17837,1.14095
81,34.11523,-118.17856,1.05505
82,34.09738,-118.17867,1.123975
83,34.109320000000004,-118.17894,1.2984499999999999
84,34.089,-118.17898999999998,1.04945
85,34.11207,-118.17917,1.3247499999999999
86,34.11367,-118.17936999999999,1.17175
87,34.075540000000004,-118.17971999999999,1.12205
88,34.11249,-118.17973,1.1849
89,34.10946,-118.17987,1.3055
90,34.11868,-118.18007,1.08785
91,34.08814,-118.18015,1.07935
92,34.07506,-118.18021999999999,1.0519500000000002
93,34.11255,-118.18028000000001,1.2462
94,34.0889,-118.1809,1.11975
95,34.08121,-118.181,1.1160999999999999
96,34.08853,-118.18149,1.054395
97,34.14091,-118.18158999999999,1.08135
98,34.11365,-118.18225,1.06215
99,34.11285,-118.18323000000001,1.2305000000000001
100,34.10672,-118.18388999999999,1.1640000000000001
101,34.1224,-118.18478999999999,1.2563
102,34.12174,-118.1849,1.2421
103,34.105140000000006,-118.18506000000001,1.1813
104,34.12485,-118.18566000000001,1.34085
105,34.125440000000005,-118.18631,1.31425
106,34.125040000000006,-118.18656999999999,1.2932000000000001
107,34.1028,-118.18666,1.1314
108,34.126709999999996,-118.18678,1.23115
109,34.10835,-118.18713999999999,1.18455
110,34.1187,-118.18723,1.2519
111,34.11873,-118.18739,1.23815
112,34.12481,-118.18753000000001,1.2988499999999998
113,34.118759999999995,-118.18755,1.2308
114,34.10752,-118.18765,1.17285
115,34.1077,-118.18771000000001,1.1652
116,34.08889,-118.1878,1.0578500000000002
117,34.1263,-118.18795,1.2054
118,34.12469,-118.18799999999999,1.29265
119,34.10753,-118.18802,1.1976
120,34.09067,-118.18802,1.23165
121,34.12552,-118.18803,1.2904
122,34.10752,-118.18806000000001,1.19935
123,34.10705,-118.18807,1.1748
124,34.12625,-118.18815,1.2002000000000002
125,34.125479999999996,-118.18818999999999,1.34955
126,34.09066,-118.18841,1.2185000000000001
127,34.12464,-118.18868,1.3233
128,34.10996,-118.18888999999999,1.1552
129,34.11974,-118.18928000000001,1.39955
130,34.12444,-118.1893,1.3052
131,34.13368,-118.18936000000001,1.233
132,34.116,-118.18961999999999,1.4484
133,34.11741,-118.18986000000001,1.3303
134,34.13823,-118.19063,1.1409
135,34.11635,-118.19073,1.2634
136,34.1078,-118.19084,1.1833
137,34.116209999999995,-118.19102,1.26585
138,34.10775,-118.19138999999998,1.12455
139,34.10525,-118.19185,1.0502500000000001
140,34.10838,-118.19187,1.23485
141,34.10504,-118.1926,1.0070000000000001
142,34.10568,-118.19261999999999,1.07815
143,34.11176,-118.19282,1.29775
144,34.11606,-118.19301000000002,1.4689
145,34.03668,-118.19321000000001,1.13975
146,34.04875,-118.19323999999999,1.1054
147,34.06201,-118.19378999999999,1.0112
148,34.13309,-118.19391,1.2729
149,34.10325,-118.19411000000001,0.9738600000000001
150,34.1046,-118.19415,1.08465
151,34.0485,-118.19416000000001,1.0247000000000002
152,34.11399,-118.19422,1.2328000000000001
153,34.12035,-118.19436,1.4146
154,34.11104,-118.1944,1.13745
155,34.05366,-118.19448999999999,1.0499
156,34.113690000000005,-118.19453999999999,1.2375500000000001
157,34.140370000000004,-118.19455,1.2186
158,34.11202,-118.19463,1.17005
159,34.066320000000005,-118.19467,1.0158550000000002
160,34.10933,-118.19488999999999,1.19205
161,34.112359999999995,-118.1949,1.1127
162,34.06132,-118.19491000000001,0.966925
163,34.1199,-118.19502,1.35815
164,34.11182,-118.19503,1.15525
165,34.11417,-118.19506000000001,1.2575
166,34.14001,-118.19507,1.1369
167,34.10649,-118.19513,1.14665
168,34.10535,-118.19545,1.1494499999999999
169,34.11268,-118.19551000000001,1.08655
170,34.11252,-118.19556999999999,1.12765
171,34.12097,-118.19573000000001,1.3372
172,34.04919,-118.19575,1.0864
173,34.1098,-118.19613000000001,1.21665
174,34.10645,-118.19616,1.1314
175,34.05872,-118.19655,0.9560850000000001
176,34.10705,-118.19657,1.12265
177,34.05862,-118.19668,1.016705
178,34.10362,-118.19672,0.96515
179,34.05893,-118.19705,0.9868100000000001
180,34.1124,-118.19718,1.1395499999999998
181,34.11182,-118.19731999999999,1.1879
182,34.10545,-118.19741,1.1091
183,34.04255,-118.19742,1.14415
184,34.05956,-118.19743999999999,0.964005
185,34.12039,-118.1977,1.2896
186,34.10935,-118.1978,1.1308500000000001
187,34.10623,-118.19793,1.1296
188,34.0229,-118.19811000000001,1.1491
189,34.10931,-118.1983,1.20295
190,34.10952,-118.19843999999999,1.1918
191,34.10542,-118.19845,1.12915
192,34.107079999999996,-118.19846000000001,1.1707999999999998
193,34.05284,-118.19848,0.97834
194,34.04688,-118.19853,1.1059
195,34.13977,-118.19882,1.29165
196,34.02407,-118.19936000000001,1.09815
197,34.07074,-118.19958999999999,1.02441
198,34.03863,-118.19991999999999,1.1395
199,34.10402,-118.20022,1.1253
200,34.0518,-118.20035,1.053
201,34.06963,-118.20043000000001,1.033385
202,34.03179,-118.20051000000001,1.1374
203,34.03937,-118.20055,1.2256
204,34.10329,-118.20058,1.07525
205,34.05045,-118.20071000000002,1.13015
206,34.04998,-118.20081,1.0565000000000002
207,34.106629999999996,-118.20106000000001,0.973625
208,34.04553,-118.20107,1.28465
209,34.10711,-118.20121,1.0558
210,34.05005,-118.20121999999999,1.07725
211,34.04289,-118.20126,1.19495
212,34.109790000000004,-118.20152,1.1755
213,34.1217,-118.20182,1.29405
214,34.07666,-118.20204,1.0326499999999998
215,34.04797,-118.20208000000001,1.1266500000000002
216,34.07263,-118.20216,1.0760100000000001
217,34.103629999999995,-118.20218999999999,1.0880999999999998
218,34.02511,-118.20235,1.1408
219,34.07271,-118.2025,1.1451500000000001
220,34.03694,-118.2028,1.3089
221,34.10233,-118.20298000000001,1.0624
222,34.04198,-118.20298000000001,1.1515
223,34.10927,-118.20298999999999,1.0854
224,34.10941,-118.20306000000001,1.0638
225,34.069379999999995,-118.20317,1.27955
226,34.05182,-118.20321000000001,0.96224
227,34.07036,-118.20366000000001,1.26805
228,34.1093,-118.20395,1.1599
229,34.10822,-118.20396000000001,1.1228
230,34.03518,-118.20403,1.2422
231,34.04935,-118.20403999999999,1.09595
232,34.1005,-118.20408,0.992595
233,34.07334,-118.20409,1.15185
234,34.07033,-118.20411000000001,1.2626
235,34.10844,-118.20411999999999,1.1138
236,34.056709999999995,-118.2043,1.1527500000000002
237,34.04788,-118.20436000000001,1.0665499999999999
238,34.09156,-118.20438,1.141
239,34.10884,-118.20442,1.13945
240,34.100120000000004,-118.20445,1.0405
241,34.108990000000006,-118.20456999999999,1.1589999999999998
242,34.05805,-118.20466,1.1320999999999999
243,34.04854,-118.20473999999999,1.10605
244,34.03641,-118.2053,1.217
245,34.03053,-118.20555,1.228
246,34.03922,-118.2057,1.1253
247,34.04786,-118.20573,1.0343
248,34.032509999999995,-118.20586000000002,1.1613
249,34.043690000000005,-118.20588000000001,1.05915
250,34.04331,-118.20596,1.09155
251,34.05032,-118.20598000000001,1.0957
252,34.04375,-118.20601,1.0847
253,34.04337,-118.20608999999999,1.0572
254,34.138459999999995,-118.20617,1.1721
255,34.097229999999996,-118.20624,1.14135
256,34.043479999999995,-118.20635,1.05505
257,34.04299,-118.2065,1.0714
258,34.044000000000004,-118.20658,1.09155
259,34.04533,-118.20666999999999,1.1537
260,34.04455,-118.20671999999999,1.1280999999999999
261,34.04368,-118.20678999999998,1.0758
262,34.04126,-118.2068,1.0851
263,34.04461,-118.20688999999999,1.1028
264,34.118559999999995,-118.2072,1.1045
265,34.04173,-118.2072,1.0734
266,34.09174,-118.20721,1.0570499999999998
267,34.13552,-118.20721999999999,1.19955
268,34.075559999999996,-118.20738999999999,1.1510500000000001
269,34.04435,-118.20738999999999,1.1368
270,34.04397,-118.20745,1.10095
271,34.13767,-118.20748,1.16635
272,34.04466,-118.2079,1.1109
273,34.05113,-118.20795,1.11965
274,34.045629999999996,-118.20806,1.1921499999999998
275,34.11248,-118.20826000000001,1.08615
276,34.04169,-118.20835,1.05585
277,34.13414,-118.20837,1.14675
278,34.091770000000004,-118.20845,1.0236049999999999
